Index,Random,Total Amount,Total Amount 2,STD Dev,Assignment,Combined,Genentic,Reference
42,"[11.614315930226475, -0.07819137599620599, -16495]","[12.888565185683017, -0.012828164664802357, -20021]","[13.177077658105484, -0.008315560357822566, -21072]","[13.177077658105484, -0.008315560357822566, -21072]","[14.855569200482686, -0.11247290419012908, -4293]","[13.177077658105484, -0.008315560357822566, -21072]","[13.190246936325302, -0.07670380910057224, -18092]","[13.726484114152152, -0.019210977287024766, -1146]"
43,"[13.360372209821353, -0.07077775521026657, -10432]","[12.849190917497197, -0.012986599197206353, -19959]","[13.251105812690017, -0.008341467285521622, -20247]","[13.251105812690017, -0.008341467285521622, -20247]","[14.93867757092759, -0.11439437928926498, -3203]","[13.251105812690017, -0.008341467285521622, -20247]","[12.066228349895333, -0.08424890308390443, -20102]","[13.726484114152152, -0.019210977287024766, -1146]"
44,"[12.965403140145497, -0.08664772808331202, -13121]","[13.415515171099521, -0.014094646500080651, -19820]","[13.555313337841165, -0.010150568854772325, -21407]","[13.555313337841165, -0.010150568854772325, -21407]","[15.478976754607327, -0.11375920511902209, -3888]","[13.555313337841165, -0.010150568854772325, -21407]","[13.100653477569466, -0.08126448826096011, -14117]","[13.726484114152152, -0.019210977287024766, -1146]"
45,"[15.294393192212842, -0.10102062823160683, -16114]","[16.0167849928727, -0.014268312331263668, -17270]","[16.674406673986677, -0.013551662757212715, -21468]","[16.674406673986677, -0.013551662757212715, -21468]","[18.48779784389811, -0.11264421160456395, -3907]","[16.674406673986677, -0.013551662757212715, -21468]","[15.872615330989209, -0.08019571168509024, -17053]","[19.138254994754114, -0.026785051362019457, -1146]"
46,"[12.74395945748824, -0.08239401245426067, -13947]","[12.758952557767106, -0.012351407922498224, -19990]","[13.073778222811528, -0.009622492298130727, -22740]","[13.073778222811528, -0.009622492298130727, -22740]","[14.705115687522781, -0.11514032195688724, -3654]","[13.073778222811528, -0.009622492298130727, -22740]","[12.06497452751915, -0.0844694411843679, -17548]","[13.726484114152152, -0.019210977287024766, -1146]"
47,"[12.979464406279824, -0.07973308610256814, -16058]","[12.8934591015003, -0.012757639993462537, -18869]","[13.11926490669197, -0.009821459273412757, -21294]","[13.11926490669197, -0.009821459273412757, -21294]","[14.856557103608418, -0.11311603596713558, -4133]","[13.11926490669197, -0.009821459273412757, -21294]","[12.128161399428416, -0.0794266417272831, -20084]","[13.726484114152152, -0.019210977287024766, -1146]"
48,"[13.116162058802137, -0.08596471539920046, -13524]","[13.047552612087769, -0.013158163377600816, -19248]","[13.329010571666783, -0.01183828043868815, -20464]","[13.329010571666783, -0.01183828043868815, -20464]","[14.779951223807359, -0.11397645273492311, -3273]","[13.329010571666783, -0.01183828043868815, -20464]","[11.411295784039877, -0.06720479137584816, -21572]","[13.726484114152152, -0.019210977287024766, -1146]"
49,"[13.351950494844331, -0.07615805468744889, -13155]","[13.36094933675352, -0.014347694252689643, -19659]","[13.5057741111514, -0.010147071698785724, -21023]","[13.5057741111514, -0.010147071698785724, -21023]","[15.449893350140044, -0.11372339139232036, -3302]","[13.5057741111514, -0.010147071698785724, -21023]","[11.995073060745858, -0.06750821128849968, -17322]","[13.726484114152152, -0.019210977287024766, -1146]"
50,"[15.469211886246388, -0.08247433158843429, -14974]","[16.22222824049542, -0.013912294303769787, -18099]","[16.681570788656526, -0.012979703878272545, -21623]","[16.681570788656526, -0.012979703878272545, -21623]","[18.621098371074446, -0.11525647812142634, -3592]","[16.681570788656526, -0.012979703878272545, -21623]","[15.149388972946474, -0.08459990033232491, -15626]","[19.138254994754114, -0.026785051362019457, -1146]"
51,"[16.054408812613026, -0.09624111044121049, -15263]","[15.663261620332353, -0.013803792809271116, -16881]","[16.603694687673933, -0.014588072587268313, -20611]","[16.603694687673933, -0.014588072587268313, -20611]","[17.852152712207705, -0.11184560242325221, -3838]","[16.603694687673933, -0.014588072587268313, -20611]","[14.449223649686207, -0.0980998440681956, -18385]","[19.138254994754114, -0.026785051362019457, -1146]"
